date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:17	540354/540354	---M-Z	200	added ('OK')	text/html	etag:%221aa2071b302ec5e5ed031b4ca4e753bd%22	https://finsight.framer.ai/	C:/My%20Web%20Sites/finsight/finsight.framer.ai/index.html	(from )
13:05:17	96/96	---M-Z	200	added ('OK')	text/plain	etag:%22cd67a2bf27851d5b46fc939900583561%22	https://finsight.framer.ai/robots.txt		(from )
13:05:17	1321/1321	---MC-	200	added ('OK')	image/png	etag:%221800fc7ee5dca3e5909bdfa7b2188ba0%22	https://framerusercontent.com/images/ZvH8oCwyAZ8l1QRcDO6zAzqoAnc.png	C:/My%20Web%20Sites/finsight/framerusercontent.com/images/ZvH8oCwyAZ8l1QRcDO6zAzqoAnc.png	(from https://finsight.framer.ai/)
13:05:18	222792/222792	---M-Z	200	added ('OK')	text/html	etag:%227b786b1e80aa87eb315efa90308426a4%22	https://finsight.framer.ai/contact	C:/My%20Web%20Sites/finsight/finsight.framer.ai/contact.html	(from https://finsight.framer.ai/)
13:05:18	7265/7265	---MC-	200	added ('OK')	image/png	etag:%2252b450e7905d46de3775a77561b53801%22	https://framerusercontent.com/images/PizVEIU6p81RyFs6h69AueJvvnI.png?width=164&height=164	C:/My%20Web%20Sites/finsight/framerusercontent.com/images/PizVEIU6p81RyFs6h69AueJvvnIb7d5.png	(from https://finsight.framer.ai/)
13:05:18	11110/11110	---MC-	200	added ('OK')	image/png	etag:%221f6c61e47377a9a120bf604e62e36aa7%22	https://framerusercontent.com/images/oG3KxLvLkcKhrYG2zvVh2OOKsw.png?width=164&height=164	C:/My%20Web%20Sites/finsight/framerusercontent.com/images/oG3KxLvLkcKhrYG2zvVh2OOKswb7d5.png	(from https://finsight.framer.ai/)
13:05:18	4638/4638	---MC-	200	added ('OK')	image/png	etag:%2272c673f1bc1037bb839569280c0e5c87%22	https://framerusercontent.com/images/MBLonMAM2kYQDifASdwe2UasQ7M.png?width=164&height=164	C:/My%20Web%20Sites/finsight/framerusercontent.com/images/MBLonMAM2kYQDifASdwe2UasQ7Mb7d5.png	(from https://finsight.framer.ai/)
13:05:19	57142/57142	---MC-	200	added ('OK')	image/png	etag:%223ddeafa9c05956d90b1d312d38df03b8%22	https://framerusercontent.com/images/WQKvcVPNQhGe9R7TmkrPwzKHzM.png?width=1023&height=1135	C:/My%20Web%20Sites/finsight/framerusercontent.com/images/WQKvcVPNQhGe9R7TmkrPwzKHzM1027.png	(from https://finsight.framer.ai/)
13:05:19	78053/78053	---MC-	200	added ('OK')	image/png	etag:%220bcd8f5f0513d22aa14137b7cef5bb31%22	https://framerusercontent.com/images/MYNavXtvcEUpyeh6d5XGhr7E.png?width=750&height=927	C:/My%20Web%20Sites/finsight/framerusercontent.com/images/MYNavXtvcEUpyeh6d5XGhr7E8e07.png	(from https://finsight.framer.ai/)
13:05:19	1225649/1225649	---MC-	200	added ('OK')	image/png	etag:%229debae9eb0cd8f9ef74e87ba33edcbbc%22	https://framerusercontent.com/images/1TjB5HiGlXYfqhLmpK7AzEDaops.png?width=3209&height=1968	C:/My%20Web%20Sites/finsight/framerusercontent.com/images/1TjB5HiGlXYfqhLmpK7AzEDaopse065.png	(from https://finsight.framer.ai/)
13:05:20	398623/398623	---MC-	200	added ('OK')	image/png	etag:%22fc92a53658352ff1fff5168e5dc67eaf%22	https://framerusercontent.com/images/PFRReqNvz5oh7d9SMQM12QKTJQ.png?width=1856&height=3020	C:/My%20Web%20Sites/finsight/framerusercontent.com/images/PFRReqNvz5oh7d9SMQM12QKTJQe011.png	(from https://finsight.framer.ai/)
